"","DIM","funcId","ID","runtime","run","f(x)","IID"
"1",5,1,"EMNA",50,1,19.4326832676,41
"2",5,1,"EMNA",100,1,18.6880431529,41
"3",5,1,"EMNA",500,1,17.7015818611,41
"4",5,1,"EMNA",1000,1,17.7015818611,41
"5",5,1,"EMNA",5000,1,17.7015818611,41
"6",5,1,"EMNA",10000,1,17.7015818611,41
"7",5,1,"EMNA",50,2,12.6486131043,41
"8",5,1,"EMNA",100,2,12.6486131043,41
"9",5,1,"EMNA",500,2,12.6486131043,41
"10",5,1,"EMNA",1000,2,12.6486131043,41
"11",5,1,"EMNA",5000,2,12.6486131043,41
"12",5,1,"EMNA",10000,2,12.6486131043,41
"13",5,1,"EMNA",50,3,15.9286610491,41
"14",5,1,"EMNA",100,3,15.9286610491,41
"15",5,1,"EMNA",500,3,15.9286610491,41
"16",5,1,"EMNA",1000,3,15.9286610491,41
"17",5,1,"EMNA",5000,3,15.9286610491,41
"18",5,1,"EMNA",10000,3,15.9286610491,41
"19",5,1,"EMNA",50,4,17.3086812149,41
"20",5,1,"EMNA",100,4,17.3086812149,41
"21",5,1,"EMNA",500,4,17.3086812149,41
"22",5,1,"EMNA",1000,4,17.3086812149,41
"23",5,1,"EMNA",5000,4,17.3086812149,41
"24",5,1,"EMNA",10000,4,17.3086812149,41
"25",5,1,"EMNA",50,5,17.5531715927,41
"26",5,1,"EMNA",100,5,17.5531715927,41
"27",5,1,"EMNA",500,5,15.4642701166,41
"28",5,1,"EMNA",1000,5,15.4642701166,41
"29",5,1,"EMNA",5000,5,15.4642701166,41
"30",5,1,"EMNA",10000,5,15.4642701166,41
"31",5,1,"EMNA",50,6,16.3529140872,41
"32",5,1,"EMNA",100,6,16.3529140872,41
"33",5,1,"EMNA",500,6,16.3529140872,41
"34",5,1,"EMNA",1000,6,16.3529140872,41
"35",5,1,"EMNA",5000,6,16.3529140872,41
"36",5,1,"EMNA",10000,6,16.3529140872,41
"37",5,1,"EMNA",50,7,25.2819408795,41
"38",5,1,"EMNA",100,7,16.1636746528,41
"39",5,1,"EMNA",500,7,16.1636746528,41
"40",5,1,"EMNA",1000,7,16.1636746528,41
"41",5,1,"EMNA",5000,7,16.1636746528,41
"42",5,1,"EMNA",10000,7,16.1636746528,41
"43",5,1,"EMNA",50,8,22.1625136529,41
"44",5,1,"EMNA",100,8,18.057361656,41
"45",5,1,"EMNA",500,8,18.0196250197,41
"46",5,1,"EMNA",1000,8,18.0196250197,41
"47",5,1,"EMNA",5000,8,18.0196250197,41
"48",5,1,"EMNA",10000,8,18.0196250197,41
"49",5,1,"EMNA",50,9,23.9439984387,41
"50",5,1,"EMNA",100,9,20.2499641714,41
"51",5,1,"EMNA",500,9,20.2499641714,41
"52",5,1,"EMNA",1000,9,20.2499641714,41
"53",5,1,"EMNA",5000,9,20.2499641714,41
"54",5,1,"EMNA",10000,9,20.2499641714,41
"55",5,1,"EMNA",50,10,20.3825593914,41
"56",5,1,"EMNA",100,10,20.370046912,41
"57",5,1,"EMNA",500,10,20.214883334,41
"58",5,1,"EMNA",1000,10,20.214883334,41
"59",5,1,"EMNA",5000,10,20.214883334,41
"60",5,1,"EMNA",10000,10,20.214883334,41
"61",5,1,"EMNA",50,11,18.6628612034,41
"62",5,1,"EMNA",100,11,17.8522014806,41
"63",5,1,"EMNA",500,11,17.6646519626,41
"64",5,1,"EMNA",1000,11,17.6646519626,41
"65",5,1,"EMNA",5000,11,17.6646519626,41
"66",5,1,"EMNA",10000,11,17.6646519626,41
"67",5,1,"EMNA",50,12,9.532711304,41
"68",5,1,"EMNA",100,12,9.532711304,41
"69",5,1,"EMNA",500,12,9.532711304,41
"70",5,1,"EMNA",1000,12,9.532711304,41
"71",5,1,"EMNA",5000,12,9.532711304,41
"72",5,1,"EMNA",10000,12,9.532711304,41
"73",5,1,"EMNA",50,13,19.0889335431,41
"74",5,1,"EMNA",100,13,19.0774708759,41
"75",5,1,"EMNA",500,13,18.276964637,41
"76",5,1,"EMNA",1000,13,18.276964637,41
"77",5,1,"EMNA",5000,13,18.276964637,41
"78",5,1,"EMNA",10000,13,18.276964637,41
"79",5,1,"EMNA",50,14,20.3465317435,41
"80",5,1,"EMNA",100,14,19.509891488,41
"81",5,1,"EMNA",500,14,18.3610137341,41
"82",5,1,"EMNA",1000,14,18.3610137341,41
"83",5,1,"EMNA",5000,14,18.3610137341,41
"84",5,1,"EMNA",10000,14,18.3610137341,41
"85",5,1,"EMNA",50,15,16.4750235649,41
"86",5,1,"EMNA",100,15,16.3074773849,41
"87",5,1,"EMNA",500,15,16.3074773849,41
"88",5,1,"EMNA",1000,15,16.3074773849,41
"89",5,1,"EMNA",5000,15,16.3074773849,41
"90",5,1,"EMNA",10000,15,16.3074773849,41
"91",5,1,"EMNA",50,16,15.9081558708,41
"92",5,1,"EMNA",100,16,15.9081558708,41
"93",5,1,"EMNA",500,16,15.9081558708,41
"94",5,1,"EMNA",1000,16,15.9081558708,41
"95",5,1,"EMNA",5000,16,15.9081558708,41
"96",5,1,"EMNA",10000,16,15.9081558708,41
"97",5,1,"EMNA",50,17,16.5982849767,41
"98",5,1,"EMNA",100,17,15.7633725786,41
"99",5,1,"EMNA",500,17,15.7633725786,41
"100",5,1,"EMNA",1000,17,15.7633725786,41
"101",5,1,"EMNA",5000,17,15.7633725786,41
"102",5,1,"EMNA",10000,17,15.7633725786,41
"103",5,1,"EMNA",50,18,21.332855462,41
"104",5,1,"EMNA",100,18,20.0686756543,41
"105",5,1,"EMNA",500,18,20.0266608325,41
"106",5,1,"EMNA",1000,18,20.0266608325,41
"107",5,1,"EMNA",5000,18,20.0266608325,41
"108",5,1,"EMNA",10000,18,20.0266608325,41
"109",5,1,"EMNA",50,19,16.7298636949,41
"110",5,1,"EMNA",100,19,16.7298636949,41
"111",5,1,"EMNA",500,19,16.3315489971,41
"112",5,1,"EMNA",1000,19,16.3315489971,41
"113",5,1,"EMNA",5000,19,16.3315489971,41
"114",5,1,"EMNA",10000,19,16.3315489971,41
"115",5,1,"EMNA",50,20,22.920809008,41
"116",5,1,"EMNA",100,20,20.0935836574,41
"117",5,1,"EMNA",500,20,19.7341751427,41
"118",5,1,"EMNA",1000,20,19.7341751427,41
"119",5,1,"EMNA",5000,20,19.7341751427,41
"120",5,1,"EMNA",10000,20,19.7341751427,41
"121",5,1,"EMNA",50,21,18.0832861104,41
"122",5,1,"EMNA",100,21,18.0832861104,41
"123",5,1,"EMNA",500,21,18.0832861104,41
"124",5,1,"EMNA",1000,21,18.0832861104,41
"125",5,1,"EMNA",5000,21,18.0832861104,41
"126",5,1,"EMNA",10000,21,18.0832861104,41
"127",5,1,"EMNA",50,22,19.1988384315,41
"128",5,1,"EMNA",100,22,19.1988384315,41
"129",5,1,"EMNA",500,22,19.0603679644,41
"130",5,1,"EMNA",1000,22,19.0603679644,41
"131",5,1,"EMNA",5000,22,19.0603679644,41
"132",5,1,"EMNA",10000,22,19.0603679644,41
"133",5,1,"EMNA",50,23,22.6218308183,41
"134",5,1,"EMNA",100,23,16.1869468397,41
"135",5,1,"EMNA",500,23,16.1869468397,41
"136",5,1,"EMNA",1000,23,16.1869468397,41
"137",5,1,"EMNA",5000,23,16.1869468397,41
"138",5,1,"EMNA",10000,23,16.1869468397,41
"139",5,1,"EMNA",50,24,7.2623265126,41
"140",5,1,"EMNA",100,24,7.2623265126,41
"141",5,1,"EMNA",500,24,7.2623265126,41
"142",5,1,"EMNA",1000,24,7.2623265126,41
"143",5,1,"EMNA",5000,24,7.2623265126,41
"144",5,1,"EMNA",10000,24,7.2623265126,41
"145",5,1,"EMNA",50,25,18.1441890373,41
"146",5,1,"EMNA",100,25,16.1244049304,41
"147",5,1,"EMNA",500,25,15.223050047,41
"148",5,1,"EMNA",1000,25,15.223050047,41
"149",5,1,"EMNA",5000,25,15.223050047,41
"150",5,1,"EMNA",10000,25,15.223050047,41
"151",5,1,"EMNA",50,26,20.1469304912,41
"152",5,1,"EMNA",100,26,19.2343875801,41
"153",5,1,"EMNA",500,26,19.1163408069,41
"154",5,1,"EMNA",1000,26,19.1163408069,41
"155",5,1,"EMNA",5000,26,19.1163408069,41
"156",5,1,"EMNA",10000,26,19.1163408069,41
"157",5,1,"EMNA",50,27,18.5786241022,41
"158",5,1,"EMNA",100,27,16.5377632579,41
"159",5,1,"EMNA",500,27,16.5377632579,41
"160",5,1,"EMNA",1000,27,16.5377632579,41
"161",5,1,"EMNA",5000,27,16.5377632579,41
"162",5,1,"EMNA",10000,27,16.5377632579,41
"163",5,1,"EMNA",50,28,10.319667107,41
"164",5,1,"EMNA",100,28,10.319667107,41
"165",5,1,"EMNA",500,28,10.319667107,41
"166",5,1,"EMNA",1000,28,10.319667107,41
