"","DIM","funcId","ID","runtime","run","f(x)","IID"
"1",5,1,"RandomSearch",50,1,11.9050345521,24
"2",5,1,"RandomSearch",100,1,10.2159746425,24
"3",5,1,"RandomSearch",500,1,1.0169844488,24
"4",5,1,"RandomSearch",1000,1,1.0169844488,24
"5",5,1,"RandomSearch",5000,1,1.0169844488,24
"6",5,1,"RandomSearch",10000,1,0.9973890981,24
"7",5,1,"RandomSearch",50,2,21.1298892912,24
"8",5,1,"RandomSearch",100,2,12.582125576,24
"9",5,1,"RandomSearch",500,2,2.2072757984,24
"10",5,1,"RandomSearch",1000,2,2.2072757984,24
"11",5,1,"RandomSearch",5000,2,1.6070870585,24
"12",5,1,"RandomSearch",10000,2,0.9309404933,24
"13",5,1,"RandomSearch",50,3,17.6941005291,24
"14",5,1,"RandomSearch",100,3,9.5982353065,24
"15",5,1,"RandomSearch",500,3,6.1646080385,24
"16",5,1,"RandomSearch",1000,3,3.0939820706,24
"17",5,1,"RandomSearch",5000,3,0.6429198482,24
"18",5,1,"RandomSearch",10000,3,0.6429198482,24
"19",5,1,"RandomSearch",50,4,11.0082649245,24
"20",5,1,"RandomSearch",100,4,10.4757225088,24
"21",5,1,"RandomSearch",500,4,3.6852531585,24
"22",5,1,"RandomSearch",1000,4,3.6852531585,24
"23",5,1,"RandomSearch",5000,4,1.8274791723,24
"24",5,1,"RandomSearch",10000,4,1.0813884223,24
"25",5,1,"RandomSearch",50,5,9.8294869112,24
"26",5,1,"RandomSearch",100,5,9.8294869112,24
"27",5,1,"RandomSearch",500,5,5.9751226654,24
"28",5,1,"RandomSearch",1000,5,1.5440432784,24
"29",5,1,"RandomSearch",5000,5,1.4855637409,24
"30",5,1,"RandomSearch",10000,5,0.9273628357,24
"31",5,1,"RandomSearch",50,6,7.8372425522,24
"32",5,1,"RandomSearch",100,6,7.450792719,24
"33",5,1,"RandomSearch",500,6,1.9973426644,24
"34",5,1,"RandomSearch",1000,6,1.9973426644,24
"35",5,1,"RandomSearch",5000,6,0.7810193089,24
"36",5,1,"RandomSearch",10000,6,0.7810193089,24
"37",5,1,"RandomSearch",50,7,11.3655868633,24
"38",5,1,"RandomSearch",100,7,10.7908275364,24
"39",5,1,"RandomSearch",500,7,3.0762807054,24
"40",5,1,"RandomSearch",1000,7,3.0762807054,24
"41",5,1,"RandomSearch",5000,7,2.4081256696,24
"42",5,1,"RandomSearch",10000,7,1.0248946388,24
"43",5,1,"RandomSearch",50,8,15.251133275,24
"44",5,1,"RandomSearch",100,8,10.3655706312,24
"45",5,1,"RandomSearch",500,8,3.9614980554,24
"46",5,1,"RandomSearch",1000,8,3.5100020187,24
"47",5,1,"RandomSearch",5000,8,2.2580949748,24
"48",5,1,"RandomSearch",10000,8,1.8816044514,24
"49",5,1,"RandomSearch",50,9,5.4444368397,24
"50",5,1,"RandomSearch",100,9,5.4444368397,24
"51",5,1,"RandomSearch",500,9,5.0988785765,24
"52",5,1,"RandomSearch",1000,9,2.4189219227,24
"53",5,1,"RandomSearch",5000,9,1.6629834667,24
"54",5,1,"RandomSearch",10000,9,1.6629834667,24
"55",5,1,"RandomSearch",50,10,7.8287045901,24
"56",5,1,"RandomSearch",100,10,7.8287045901,24
"57",5,1,"RandomSearch",500,10,4.349876252,24
"58",5,1,"RandomSearch",1000,10,0.8950595539,24
"59",5,1,"RandomSearch",5000,10,0.8950595539,24
"60",5,1,"RandomSearch",10000,10,0.8950595539,24
"61",5,1,"RandomSearch",50,11,9.3152491985,24
"62",5,1,"RandomSearch",100,11,8.2031281284,24
"63",5,1,"RandomSearch",500,11,2.7099347849,24
"64",5,1,"RandomSearch",1000,11,2.7099347849,24
"65",5,1,"RandomSearch",5000,11,2.7099347849,24
"66",5,1,"RandomSearch",10000,11,0.8169176333,24
"67",5,1,"RandomSearch",50,12,12.4414595009,24
"68",5,1,"RandomSearch",100,12,12.4414595009,24
"69",5,1,"RandomSearch",500,12,0.9773105712,24
"70",5,1,"RandomSearch",1000,12,0.9773105712,24
"71",5,1,"RandomSearch",5000,12,0.9773105712,24
"72",5,1,"RandomSearch",10000,12,0.9773105712,24
"73",5,1,"RandomSearch",50,13,9.5007308919,24
"74",5,1,"RandomSearch",100,13,9.5007308919,24
"75",5,1,"RandomSearch",500,13,4.925147217,24
"76",5,1,"RandomSearch",1000,13,1.0411934222,24
"77",5,1,"RandomSearch",5000,13,1.0411934222,24
"78",5,1,"RandomSearch",10000,13,1.0411934222,24
"79",5,1,"RandomSearch",50,14,9.4027278846,24
"80",5,1,"RandomSearch",100,14,8.4622676614,24
"81",5,1,"RandomSearch",500,14,3.392325249,24
"82",5,1,"RandomSearch",1000,14,3.392325249,24
"83",5,1,"RandomSearch",5000,14,1.2795099638,24
"84",5,1,"RandomSearch",10000,14,1.2795099638,24
"85",5,1,"RandomSearch",50,15,12.2707404048,24
"86",5,1,"RandomSearch",100,15,12.2707404048,24
"87",5,1,"RandomSearch",500,15,1.4947461174,24
"88",5,1,"RandomSearch",1000,15,1.4947461174,24
"89",5,1,"RandomSearch",5000,15,1.4947461174,24
"90",5,1,"RandomSearch",10000,15,0.2294355951,24
"91",5,1,"RandomSearch",50,16,4.2062752441,24
"92",5,1,"RandomSearch",100,16,4.2062752441,24
"93",5,1,"RandomSearch",500,16,4.1854132036,24
"94",5,1,"RandomSearch",1000,16,1.6228915953,24
"95",5,1,"RandomSearch",5000,16,1.6228915953,24
"96",5,1,"RandomSearch",10000,16,0.6725566215,24
"97",5,1,"RandomSearch",50,17,7.7421058521,24
"98",5,1,"RandomSearch",100,17,7.7421058521,24
"99",5,1,"RandomSearch",500,17,7.035122906,24
"100",5,1,"RandomSearch",1000,17,4.5355337623,24
"101",5,1,"RandomSearch",5000,17,1.7985875497,24
"102",5,1,"RandomSearch",10000,17,1.6476419257,24
"103",5,1,"RandomSearch",50,18,0.6945270669,24
"104",5,1,"RandomSearch",100,18,0.6945270669,24
"105",5,1,"RandomSearch",500,18,0.6945270669,24
"106",5,1,"RandomSearch",1000,18,0.6945270669,24
"107",5,1,"RandomSearch",5000,18,0.6945270669,24
"108",5,1,"RandomSearch",10000,18,0.6945270669,24
"109",5,1,"RandomSearch",50,19,11.4790238725,24
"110",5,1,"RandomSearch",100,19,4.3228055278,24
"111",5,1,"RandomSearch",500,19,4.3228055278,24
"112",5,1,"RandomSearch",1000,19,1.6894821537,24
"113",5,1,"RandomSearch",5000,19,1.3996821203,24
"114",5,1,"RandomSearch",10000,19,1.3996821203,24
"115",5,1,"RandomSearch",50,20,8.6220314842,24
"116",5,1,"RandomSearch",100,20,5.5317649252,24
"117",5,1,"RandomSearch",500,20,3.8140196825,24
"118",5,1,"RandomSearch",1000,20,3.8140196825,24
"119",5,1,"RandomSearch",5000,20,1.1470546101,24
"120",5,1,"RandomSearch",10000,20,1.1470546101,24
"121",5,1,"RandomSearch",50,21,10.7853052925,24
"122",5,1,"RandomSearch",100,21,10.7853052925,24
"123",5,1,"RandomSearch",500,21,4.0375862145,24
"124",5,1,"RandomSearch",1000,21,4.0375862145,24
"125",5,1,"RandomSearch",5000,21,2.4349193079,24
"126",5,1,"RandomSearch",10000,21,0.4280570468,24
"127",5,1,"RandomSearch",50,22,1.6695705297,24
"128",5,1,"RandomSearch",100,22,1.6695705297,24
"129",5,1,"RandomSearch",500,22,1.6695705297,24
"130",5,1,"RandomSearch",1000,22,1.5006325398,24
"131",5,1,"RandomSearch",5000,22,1.3964019932,24
"132",5,1,"RandomSearch",10000,22,0.4040813904,24
"133",5,1,"RandomSearch",50,23,9.5592106164,24
"134",5,1,"RandomSearch",100,23,7.7269500549,24
"135",5,1,"RandomSearch",500,23,2.3413408433,24
"136",5,1,"RandomSearch",1000,23,2.3413408433,24
"137",5,1,"RandomSearch",5000,23,2.3413408433,24
"138",5,1,"RandomSearch",10000,23,2.3413408433,24
"139",5,1,"RandomSearch",50,24,5.0018492853,24
"140",5,1,"RandomSearch",100,24,5.0018492853,24
"141",5,1,"RandomSearch",500,24,2.8452880637,24
"142",5,1,"RandomSearch",1000,24,2.7564929246,24
"143",5,1,"RandomSearch",5000,24,0.9703015418,24
"144",5,1,"RandomSearch",10000,24,0.9703015418,24
"145",5,1,"RandomSearch",50,25,14.3720014744,24
"146",5,1,"RandomSearch",100,25,11.4972390496,24
"147",5,1,"RandomSearch",500,25,2.8123495052,24
"148",5,1,"RandomSearch",1000,25,2.8123495052,24
"149",5,1,"RandomSearch",5000,25,0.6318664904,24
"150",5,1,"RandomSearch",10000,25,0.6318664904,24
"151",5,1,"RandomSearch",50,26,7.840253943,24
"152",5,1,"RandomSearch",100,26,3.9727608643,24
"153",5,1,"RandomSearch",500,26,3.9727608643,24
"154",5,1,"RandomSearch",1000,26,3.2655056238,24
"155",5,1,"RandomSearch",5000,26,1.0332357738,24
"156",5,1,"RandomSearch",10000,26,1.0332357738,24
"157",5,1,"RandomSearch",50,27,9.2685337182,24
"158",5,1,"RandomSearch",100,27,9.2685337182,24
"159",5,1,"RandomSearch",500,27,4.932422234,24
"160",5,1,"RandomSearch",1000,27,4.0691921632,24
"161",5,1,"RandomSearch",5000,27,1.891712743,24
"162",5,1,"RandomSearch",10000,27,1.3225989671,24
"163",5,1,"RandomSearch",50,28,16.9817003745,24
"164",5,1,"RandomSearch",100,28,11.8813782939,24
"165",5,1,"RandomSearch",500,28,1.1024697187,24
"166",5,1,"RandomSearch",1000,28,1.1024697187,24
"167",5,1,"RandomSearch",5000,28,0.424215231,24
"168",5,1,"RandomSearch",10000,28,0.424215231,24
"169",5,1,"RandomSearch",50,29,11.9970362857,24
"170",5,1,"RandomSearch",100,29,10.1589136352,24
"171",5,1,"RandomSearch",500,29,3.8514687094,24
"172",5,1,"RandomSearch",1000,29,3.6865775604,24
"173",5,1,"RandomSearch",5000,29,1.508853921,24
"174",5,1,"RandomSearch",10000,29,1.508853921,24
"175",5,1,"RandomSearch",50,30,7.3712483557,24
"176",5,1,"RandomSearch",100,30,7.3712483557,24
"177",5,1,"RandomSearch",500,30,2.6825906155,24
"178",5,1,"RandomSearch",1000,30,2.6825906155,24
"179",5,1,"RandomSearch",5000,30,2.4607035933,24
"180",5,1,"RandomSearch",10000,30,1.4802336492,24
"181",5,1,"RandomSearch",50,31,18.9296309995,24
"182",5,1,"RandomSearch",100,31,11.6854109316,24
"183",5,1,"RandomSearch",500,31,7.3756193573,24
"184",5,1,"RandomSearch",1000,31,4.9550702694,24
"185",5,1,"RandomSearch",5000,31,1.0398013939,24
"186",5,1,"RandomSearch",10000,31,1.0398013939,24
"187",5,1,"RandomSearch",50,32,17.4945772325,24
"188",5,1,"RandomSearch",100,32,3.1716155465,24
"189",5,1,"RandomSearch",500,32,3.1716155465,24
"190",5,1,"RandomSearch",1000,32,2.3517368923,24
"191",5,1,"RandomSearch",5000,32,1.601219119,24
"192",5,1,"RandomSearch",10000,32,1.5770837441,24
"193",5,1,"RandomSearch",50,33,9.787238176,24
"194",5,1,"RandomSearch",100,33,7.378350005,24
"195",5,1,"RandomSearch",500,33,1.5929051781,24
"196",5,1,"RandomSearch",1000,33,1.5929051781,24
"197",5,1,"RandomSearch",5000,33,0.4608366657,24
"198",5,1,"RandomSearch",10000,33,0.4608366657,24
"199",5,1,"RandomSearch",50,34,14.5332438645,24
"200",5,1,"RandomSearch",100,34,9.2203249805,24
"201",5,1,"RandomSearch",500,34,1.4263025577,24
"202",5,1,"RandomSearch",1000,34,1.4263025577,24
"203",5,1,"RandomSearch",5000,34,1.4263025577,24
"204",5,1,"RandomSearch",10000,34,1.4263025577,24
"205",5,1,"RandomSearch",50,35,12.2195784394,24
"206",5,1,"RandomSearch",100,35,12.0902870926,24
"207",5,1,"RandomSearch",500,35,4.6075363827,24
"208",5,1,"RandomSearch",1000,35,4.4155881667,24
"209",5,1,"RandomSearch",5000,35,0.4752680336,24
"210",5,1,"RandomSearch",10000,35,0.4752680336,24
"211",5,1,"RandomSearch",50,36,20.2043841666,24
"212",5,1,"RandomSearch",100,36,10.6622025649,24
"213",5,1,"RandomSearch",500,36,4.1369168901,24
"214",5,1,"RandomSearch",1000,36,4.1369168901,24
"215",5,1,"RandomSearch",5000,36,2.2014594955,24
"216",5,1,"RandomSearch",10000,36,2.2014594955,24
"217",5,1,"RandomSearch",50,37,10.5766123629,24
"218",5,1,"RandomSearch",100,37,8.2482402092,24
"219",5,1,"RandomSearch",500,37,1.0877800559,24
"220",5,1,"RandomSearch",1000,37,1.0877800559,24
"221",5,1,"RandomSearch",5000,37,0.6417483608,24
"222",5,1,"RandomSearch",10000,37,0.6417483608,24
"223",5,1,"RandomSearch",50,38,16.5347914501,24
"224",5,1,"RandomSearch",100,38,14.592456296,24
"225",5,1,"RandomSearch",500,38,2.2306863039,24
"226",5,1,"RandomSearch",1000,38,2.2306863039,24
"227",5,1,"RandomSearch",5000,38,2.2306863039,24
"228",5,1,"RandomSearch",10000,38,0.2368186288,24
"229",5,1,"RandomSearch",50,39,9.3853021826,24
"230",5,1,"RandomSearch",100,39,9.3853021826,24
"231",5,1,"RandomSearch",500,39,3.0343491241,24
"232",5,1,"RandomSearch",1000,39,3.0343491241,24
"233",5,1,"RandomSearch",5000,39,1.3528012526,24
"234",5,1,"RandomSearch",10000,39,1.3528012526,24
"235",5,1,"RandomSearch",50,40,6.591429404,24
"236",5,1,"RandomSearch",100,40,6.591429404,24
"237",5,1,"RandomSearch",500,40,4.1616301927,24
"238",5,1,"RandomSearch",1000,40,4.1616301927,24
"239",5,1,"RandomSearch",5000,40,0.9620466866,24
"240",5,1,"RandomSearch",10000,40,0.9620466866,24
"241",5,1,"RandomSearch",50,41,15.3206601608,24
"242",5,1,"RandomSearch",100,41,10.057122496,24
"243",5,1,"RandomSearch",500,41,3.870551266,24
"244",5,1,"RandomSearch",1000,41,3.2015466443,24
"245",5,1,"RandomSearch",5000,41,2.0944203141,24
"246",5,1,"RandomSearch",10000,41,0.7712177479,24
"247",5,1,"RandomSearch",50,42,7.0949848464,24
"248",5,1,"RandomSearch",100,42,7.0949848464,24
"249",5,1,"RandomSearch",500,42,3.6532691335,24
"250",5,1,"RandomSearch",1000,42,2.3849231042,24
"251",5,1,"RandomSearch",5000,42,0.9892293049,24
"252",5,1,"RandomSearch",10000,42,0.9892293049,24
"253",5,1,"RandomSearch",50,43,9.2448199929,24
"254",5,1,"RandomSearch",100,43,9.2448199929,24
"255",5,1,"RandomSearch",500,43,3.9095921213,24
"256",5,1,"RandomSearch",1000,43,1.3135374786,24
"257",5,1,"RandomSearch",5000,43,0.6406184414,24
"258",5,1,"RandomSearch",10000,43,0.6406184414,24
"259",5,1,"RandomSearch",50,44,11.1927684246,24
"260",5,1,"RandomSearch",100,44,8.3815132495,24
"261",5,1,"RandomSearch",500,44,5.7570353654,24
"262",5,1,"RandomSearch",1000,44,4.8713788602,24
"263",5,1,"RandomSearch",5000,44,1.6020911391,24
"264",5,1,"RandomSearch",10000,44,0.2504386309,24
"265",5,1,"RandomSearch",50,45,14.8377133263,24
"266",5,1,"RandomSearch",100,45,9.3538818331,24
"267",5,1,"RandomSearch",500,45,4.8142893117,24
"268",5,1,"RandomSearch",1000,45,2.4280827298,24
"269",5,1,"RandomSearch",5000,45,1.4380117983,24
"270",5,1,"RandomSearch",10000,45,1.4380117983,24
"271",5,1,"RandomSearch",50,46,15.3802463217,24
"272",5,1,"RandomSearch",100,46,10.9166271387,24
"273",5,1,"RandomSearch",500,46,2.814324352,24
"274",5,1,"RandomSearch",1000,46,1.8528366093,24
"275",5,1,"RandomSearch",5000,46,0.7881174489,24
"276",5,1,"RandomSearch",10000,46,0.7881174489,24
"277",5,1,"RandomSearch",50,47,11.7055656241,24
"278",5,1,"RandomSearch",100,47,10.4394777464,24
"279",5,1,"RandomSearch",500,47,3.4781778699,24
"280",5,1,"RandomSearch",1000,47,3.4781778699,24
"281",5,1,"RandomSearch",5000,47,1.3314307107,24
"282",5,1,"RandomSearch",10000,47,1.3314307107,24
"283",5,1,"RandomSearch",50,48,9.8830293404,24
"284",5,1,"RandomSearch",100,48,7.4074389072,24
"285",5,1,"RandomSearch",500,48,5.9041218803,24
"286",5,1,"RandomSearch",1000,48,5.6419571457,24
"287",5,1,"RandomSearch",5000,48,0.8731048417,24
"288",5,1,"RandomSearch",10000,48,0.8731048417,24
"289",5,1,"RandomSearch",50,49,6.3006108372,24
"290",5,1,"RandomSearch",100,49,6.3006108372,24
"291",5,1,"RandomSearch",500,49,2.0979031419,24
"292",5,1,"RandomSearch",1000,49,2.0979031419,24
"293",5,1,"RandomSearch",5000,49,2.0034698375,24
"294",5,1,"RandomSearch",10000,49,0.3506537377,24
"295",5,1,"RandomSearch",50,50,6.481490858,24
"296",5,1,"RandomSearch",100,50,6.481490858,24
"297",5,1,"RandomSearch",500,50,2.7905908645,24
"298",5,1,"RandomSearch",1000,50,2.7905908645,24
"299",5,1,"RandomSearch",5000,50,2.1027846191,24
"300",5,1,"RandomSearch",10000,50,1.6934663703,24
"301",5,10,"RandomSearch",50,1,141421.330973827,24
"302",5,10,"RandomSearch",100,1,141421.330973827,24
"303",5,10,"RandomSearch",500,1,27025.2397947478,24
"304",5,10,"RandomSearch",1000,1,27025.2397947478,24
"305",5,10,"RandomSearch",5000,1,3470.2669485471,24
"306",5,10,"RandomSearch",10000,1,1109.3293702867,24
"307",5,10,"RandomSearch",50,2,82005.4732211825,24
"308",5,10,"RandomSearch",100,2,82005.4732211825,24
"309",5,10,"RandomSearch",500,2,21812.2712477646,24
"310",5,10,"RandomSearch",1000,2,21812.2712477646,24
"311",5,10,"RandomSearch",5000,2,4233.1399705989,24
"312",5,10,"RandomSearch",10000,2,4233.1399705989,24
"313",5,10,"RandomSearch",50,3,71077.2293387645,24
"314",5,10,"RandomSearch",100,3,71077.2293387645,24
