FID,Z_1,Z_2,ela_conv_conv_prob,ela_curv_grad_norm_min,ela_curv_grad_norm_lq,ela_distr_skewness,ela_distr_number_of_peaks,ela_level_lda_qda_10,ela_level_lda_qda_25,ela_meta_lin_simple_adj_r2,ela_meta_quad_w_interact_adj_r2,ic_eps_max,ic_eps_ratio,nbc_nb_fitness_cor,EMNA,PSO,RandomSearch,EMNA_bin,PSO_bin,RandomSearch_bin
F1_I1,1.65734286601701,0.886929087789141,1,7.01039572812882e-07,3.99357084203483e-08,0.245875039680288,0,0.116772823779193,0.205405405405405,0.638983004740594,1,2.94990518834161e-08,0.0499999999999999,0.422157187953495,0.618514587329414,0.666314771864771,0.393998861121191,1,1,1
F1_I4,2.57395996227487,-0.17020676759319,1,7.1917400009113e-07,4.6911915597213e-08,0.234823637493314,0,0.261854210898797,0.243243243243243,0.81093185259372,1,4.08708069954841e-08,0.0636363636363636,0.444175976948728,1.19562544601177,1.01366372299535,0.3696972289483,1,1,1
F1_I5,2.00658487228918,0.523140395829261,1,5.84004285382433e-07,4.52165512997282e-08,0.231260339170079,0,0.10828025477707,0.227799227799228,0.800461583147595,1,2.48893801368139e-08,0.0659090909090908,0.471705961250163,1.12240650890293,0.958500167539212,0.401120282073956,1,1,1
F1_I6,2.06872266498903,0.452033951486367,1,5.8021368983648e-07,4.27984227705791e-08,0.220791618850334,0,0.17515923566879,0.227799227799228,0.70081480419192,1,3.29460144678092e-08,0.0613636363636363,0.439869923340399,0.886246473873863,0.897421409579619,0.414478799654818,1,1,1
F1_I7,1.87553414297802,0.844299711833433,1,7.53675526784174e-07,3.92950005766845e-08,0.230699643708146,0.0416666666666666,0.114360162130863,0.263835263835264,0.59839822739017,1,2.34891444761098e-08,0.0499999999999999,0.402415951395602,0.666378204157364,0.612219501631716,0.388991242648898,1,1,1
F1_I8,2.13728673845332,0.399985367191824,1,5.05474351780119e-07,4.54851032846892e-08,0.231309293791636,0,0.138004246284501,0.198198198198198,0.831451135485171,1,3.03409338722077e-08,0.0613636363636363,0.506773780690845,1.192787461288,1.01149515325728,0.406045883931634,1,1,1
F1_I9,1.90861711607468,0.502567040144633,1,7.47727607318415e-07,4.68343988603823e-08,0.243449284587122,0,0.116148370176096,0.187027027027027,0.8224601595656,1,3.29460144678092e-08,0.0659090909090908,0.486222347917381,1.17412260483196,1.0041035539307,0.384888463797587,1,1,1
F1_I10,1.77307959971259,0.758532165048895,1,5.61999056256998e-07,4.26537852445288e-08,0.239817684298202,0,0.0988937311431445,0.194780987884436,0.742415748190984,1,2.7891143890943e-08,0.0568181818181817,0.467523804717089,0.931023721097821,0.917446741835417,0.39546129977315,1,1,1
F1_I11,1.74368803611963,0.488654725993658,1,9.91633939533919e-07,4.92184643452304e-08,0.226673725287511,0,0.138004246284501,0.190932868352223,0.799175912357258,1,3.87505851051355e-08,0.0659090909090908,0.40332333093186,1.25326104598764,1.0279687929538,0.398636672630147,1,1,1
F1_I12,2.40289545069712,0.234577445154018,1,1.03468529002029e-06,4.89081118663875e-08,0.230724070424178,0,0.156581740976645,0.257344300822562,0.812308407683558,1,3.29460144678092e-08,0.0659090909090908,0.495461471883127,1.21159813254075,1.03027665298373,0.406411317162112,1,1,1
F1_I13,1.72738473158976,0.548251008980158,1,4.77797241128427e-07,4.37961568726886e-08,0.2295670679628,0,0.142375421506182,0.162162162162162,0.764522559694598,1,3.47923951770098e-08,0.0681818181818181,0.453094926465096,1.03465513035122,0.912101965409208,0.417866878060997,1,1,1
F1_I14,1.83755825347256,0.821976941213532,1,8.07695649472539e-07,3.95524093451218e-08,0.232841028560528,0.0416666666666666,0.112157297147605,0.286486486486487,0.587659560288682,1,2.34891444761098e-08,0.0545454545454545,0.368262677679889,0.576722612571233,0.631571461029195,0.405674949763761,1,1,1
F1_I15,2.55627160470014,0.116031656230751,1,8.59834085699937e-07,4.7926543966004e-08,0.244808708130044,0,0.17515923566879,0.255255255255255,0.843504132977581,1,3.29460144678092e-08,0.059090909090909,0.509929606225488,1.2406717190898,1.06931847183073,0.411634070608181,1,1,1
F1_I16,2.0704937954872,0.599330393151728,1,5.75474519660043e-07,4.18618170401363e-08,0.232168257123232,0,0.102464691221268,0.313748531139835,0.700118179161276,1,2.48893801368139e-08,0.0659090909090908,0.406749124578546,0.822463828853056,0.803467497271779,0.410182443553716,1,1,1
F1_I17,2.42801753227817,-0.0292620574929983,1,1.93534637554411e-07,4.45802715211767e-08,0.23786610845511,0,0.26635784597568,0.176983435047951,0.799104753669641,1,2.7891143890943e-08,0.0545454545454545,0.484434517768583,1.12823113513384,0.975658392306443,0.389592694627524,1,1,1
F1_I18,2.36441502690354,0.263647882720073,1,8.85563149393224e-07,4.68421731888106e-08,0.232034492553345,0,0.156581740976645,0.243243243243243,0.821226478937076,1,3.47923951770098e-08,0.0613636363636363,0.495192885861607,1.20994632032184,0.996506308030037,0.400728391030887,1,1,1
F1_I19,1.97100625603168,0.526310415895368,1,8.93079373391109e-07,4.23828400318056e-08,0.243120816390747,0,0.152866242038216,0.221621621621622,0.71230673237974,1,3.67258822556298e-08,0.059090909090909,0.441799234224411,0.821305329253602,0.871104224588934,0.40207426764929,1,1,1
F1_I20,2.18352674770504,0.192545619131147,1,9.23359640344561e-07,4.68913595803455e-08,0.228218210560738,0,0.193736730360934,0.207207207207207,0.802782044113234,1,3.29460144678092e-08,0.0659090909090908,0.456386909591238,1.18517399237526,0.995223694047703,0.41365905085016,1,1,1
F1_I23,1.85637196826548,0.551188297122153,1,8.04797703157831e-07,4.15577319425052e-08,0.23881669887887,0.0416666666666666,0.14171974522293,0.205087440381558,0.729456529349048,1,2.63556744625202e-08,0.0568181818181817,0.413931874266692,0.887977773874187,0.84748746138652,0.427224498698178,1,1,1
